gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000025939,2312.0698,-0.255935916,0.058488921,-4.375801639,1.21E-05,0.000108507
ENSMUSG00000079658,4976.511472,0.000108098,0.033519036,0.00322497,0.997426851,0.998805378
ENSMUSG00000097744,0.18831889,-0.407843429,2.703039702,-0.150883255,0.88006781,NA
ENSMUSG00000025940,1631.813418,-0.191245635,0.060669635,-3.152246337,0.001620195,0.007454083
ENSMUSG00000025779,34.85952023,-0.072286206,0.17370818,-0.416135876,0.677310579,0.807826405
ENSMUSG00000042686,1453.544309,-0.051814783,0.069219657,-0.748555897,0.454124923,0.63342711
ENSMUSG00000025777,5798.879693,-0.054029569,0.048199574,-1.120955324,0.26230688,0.44055616
ENSMUSG00000067780,30.48846658,-0.092477032,0.236495786,-0.391030357,0.695774797,0.820759554
ENSMUSG00000100053,16.78794176,0.204409277,0.251289931,0.813439982,0.415965844,0.599827714
ENSMUSG00000085125,4.543033093,0.784530656,0.51288065,1.529655399,0.126102049,0.260658518
ENSMUSG00000025776,99.92575958,-0.241927605,0.105753161,-2.287663099,0.022157148,0.066958723
ENSMUSG00000070977,0.040094581,0.416533056,3.777781541,0.11025864,0.912204257,NA
ENSMUSG00000067773,0.204200974,0.781754155,2.664772722,0.293366165,0.769242284,NA
ENSMUSG00000089787,2.463858694,0.2352278,0.659694576,0.356570765,0.721413167,0.836557972
ENSMUSG00000042596,173.0593757,0.144007541,1.011059099,0.142432367,0.886738498,0.936994916
ENSMUSG00000025927,2147.738406,0.082417068,0.091513572,0.900599399,0.367801354,0.552742325
ENSMUSG00000043760,2.345200968,0.640216213,0.722218616,0.886457645,0.375370968,0.559930117
ENSMUSG00000065559,0.044736558,-0.407847816,3.777781541,-0.107959608,0.914027733,NA
ENSMUSG00000065480,5.062851662,-0.173140572,0.434527138,-0.398457443,0.690293022,0.816912798
ENSMUSG00000025929,0.049679136,0,3.777781541,0,1,NA
ENSMUSG00000041872,1.622859355,0.749975197,0.744224031,1.007727735,0.313585186,0.496735783
ENSMUSG00000041859,112.7141137,-0.25514137,0.094425792,-2.702030489,0.006891744,0.025559424
ENSMUSG00000097934,32.95529623,0.256604362,0.169694497,1.51215488,0.130494466,0.267362698
ENSMUSG00000025931,18684.32297,0.017004273,0.062770792,0.270894669,0.786472046,0.877244659
ENSMUSG00000041809,120.9209541,0.522994414,0.136167251,3.840823782,0.000122622,0.000814868
ENSMUSG00000041779,16.99428164,-0.086982183,0.244929984,-0.355130807,0.722491598,0.837321221
ENSMUSG00000025933,653.8519215,-0.146490844,0.054968268,-2.665007456,0.007698662,0.02801324
ENSMUSG00000025934,61.65839836,0.629956696,0.139776911,4.506872363,6.58E-06,6.27E-05
ENSMUSG00000138037,1.382207659,0.717618132,0.826532161,0.868227718,0.385269683,0.569649256
ENSMUSG00000121505,0.501139318,-1.107243835,1.462616141,-0.757029684,0.449032079,NA
ENSMUSG00000067750,0.132839669,0,3.777781541,0,1,NA
ENSMUSG00000028033,135.2768801,0.150730327,0.185422851,0.812900493,0.416275112,0.600165094
ENSMUSG00000082935,9.644539945,0.122412847,0.333224837,0.367358112,0.713351913,0.831821383
ENSMUSG00000041670,4595.789073,-0.189594997,0.102464208,-1.850353417,0.064262628,0.156277405
ENSMUSG00000073730,0.04881993,0,3.777781541,0,1,NA
ENSMUSG00000065567,10.2414102,-0.211984223,0.291698953,-0.726722606,0.467395902,0.643894051
ENSMUSG00000026158,10218.79473,0.053826868,0.040010623,1.345314411,0.178523722,0.335758844
ENSMUSG00000097920,0.041956929,0,3.777781541,0,1,NA
ENSMUSG00000099503,1.703660519,-1.185621167,0.79768906,-1.486319955,0.137194511,0.276877816
ENSMUSG00000026156,622.9464429,0.142760419,0.063914454,2.233617141,0.025508275,0.075111189
ENSMUSG00000026155,3233.232623,0.018283652,0.03521777,0.519159825,0.603649292,0.754238879
ENSMUSG00000026154,375.2813481,0.050227472,0.083294195,0.603012875,0.546500124,0.710114557
ENSMUSG00000026153,3267.372712,0.092971855,0.073078968,1.272210831,0.20329822,0.368018029
ENSMUSG00000026147,40.83852371,-0.441226953,0.175676482,-2.511588053,0.01201893,0.040687047
ENSMUSG00000026141,1187.733713,0.061550684,0.09853135,0.624681222,0.5321803,0.69887576
ENSMUSG00000099997,15.5618131,-0.502665952,0.260838997,-1.927111966,0.053965678,0.136368564
ENSMUSG00000073725,9611.60044,0.059729041,0.037495599,1.59296138,0.111168855,0.23709387
ENSMUSG00000033569,4643.920013,0.173991511,0.050277789,3.460603835,0.000538965,0.002900441
ENSMUSG00000104257,2.348557513,-0.204843877,0.732830817,-0.279524104,0.779842643,0.873841859
ENSMUSG00000048411,0.177076595,0.004343851,3.232010387,0.001344009,0.998927636,NA
ENSMUSG00000099492,21.00923752,-0.092494178,0.273908473,-0.337682792,0.735602243,0.845401589
ENSMUSG00000053185,0.484434085,1.641511459,1.584356242,1.036074726,0.300167282,NA
ENSMUSG00000100261,0.371390277,1.210617573,1.691581262,0.715672135,0.474193821,NA
ENSMUSG00000048874,4650.421113,-0.034346311,0.087605467,-0.392056706,0.695016315,0.820188544
ENSMUSG00000026064,1423.84789,-0.491719076,0.053663759,-9.162963757,5.05E-20,6.53E-18
ENSMUSG00000050217,0.271593208,-1.973921451,2.156128403,-0.91549346,0.359932634,NA
ENSMUSG00000070960,0.635406167,0.62866927,1.267897139,0.495836176,0.620009999,NA
ENSMUSG00000026058,256.1913579,-0.112958638,0.080281913,-1.407024741,0.159420053,0.309544702
ENSMUSG00000091318,1.178058459,-0.656433267,0.951962508,-0.689557899,0.490472251,0.663941092
ENSMUSG00000131675,1.841943311,0.776832123,0.788896233,0.984707608,0.324767715,0.508726157
ENSMUSG00000026134,336.8256293,-0.162768443,0.062225208,-2.615795857,0.008901976,0.031716026
ENSMUSG00000103746,15.41976598,0.397934492,0.248503208,1.601325369,0.109304873,0.234308724
ENSMUSG00000004768,1588.009717,-0.084549836,0.03817175,-2.214984514,0.026761128,0.078069614
ENSMUSG00000042215,260.1732534,-0.290467288,0.082723859,-3.511287929,0.000445941,0.00246816
ENSMUSG00000042197,1391.363078,-0.03550267,0.069483185,-0.5109534,0.609383688,0.75863605
ENSMUSG00000081402,7.062306627,0.03631756,0.407554111,0.089111013,0.928993685,0.960991717
ENSMUSG00000042182,9103.474733,-0.033786644,0.049767949,-0.678883593,0.497211622,0.669576451
ENSMUSG00000026131,18915.15174,-0.248648776,0.118340352,-2.101132636,0.035629325,0.098014891
ENSMUSG00000105982,0.051362852,0.416531702,3.777781541,0.110258282,0.912204542,NA
ENSMUSG00000092852,0.270223662,-0.417341819,1.950852097,-0.213927965,0.830603232,NA
ENSMUSG00000042111,715.0491872,0.196936491,0.054563243,3.609325282,0.000306994,0.001794679
ENSMUSG00000026127,786.2692416,-0.293401469,0.056318669,-5.209666223,1.89E-07,2.68E-06
ENSMUSG00000026126,45.14831171,0.228858548,0.172041188,1.330254403,0.183434465,0.342222071
ENSMUSG00000026125,0.264863166,1.793333444,2.141455381,0.837436755,0.402347113,NA
ENSMUSG00000026124,3.707489054,-0.19583734,0.541059788,-0.361951385,0.71738836,0.833791351
ENSMUSG00000037529,0.048659996,0.416531702,3.777781541,0.110258282,0.912204542,NA
ENSMUSG00000045174,2171.652306,0.01166786,0.043031715,0.271145605,0.786279047,0.877148884
ENSMUSG00000138441,1.244642866,-0.294398861,0.898582215,-0.32762596,0.743194491,0.850228722
ENSMUSG00000037509,2609.346688,0.212155563,0.065947528,3.217035876,0.001295224,0.006158045
ENSMUSG00000037503,12209.49303,-0.042282418,0.036631831,-1.154253473,0.248396266,0.424923425
ENSMUSG00000026123,11667.58142,-0.062978579,0.036519775,-1.724506194,0.084616502,0.193272885
ENSMUSG00000102531,3.676725968,0.513382942,0.500749665,1.025228729,0.305255276,0.487291604
ENSMUSG00000103708,8.543320952,0.435208081,0.325191866,1.338311704,0.180794848,0.338811267
ENSMUSG00000045216,2332.593637,-0.159920788,0.046622937,-3.430088247,0.000603385,0.003188273
ENSMUSG00000037470,2598.869891,-0.230171252,0.060522772,-3.803052058,0.000142924,0.000931912
ENSMUSG00000098752,0.391777875,-1.588259966,1.985211675,-0.800045651,0.423684348,NA
ENSMUSG00000047180,23.1821965,0.482548905,0.206735745,2.334133868,0.019588713,0.060582866
ENSMUSG00000037447,477.8022104,-0.132298738,0.069252232,-1.910389522,0.056083079,0.140619381
ENSMUSG00000010453,3886.681983,-0.036423195,0.046104468,-0.790014439,0.429519336,0.611953719
ENSMUSG00000098680,0.04881993,0,3.777781541,0,1,NA
ENSMUSG00000037432,2.548666753,-0.612614813,0.588139221,-1.041615304,0.29759007,0.479182341
ENSMUSG00000001143,1147.115589,-0.737356319,0.068963405,-10.69199409,1.11E-26,3.59E-24
ENSMUSG00000037408,1138.064573,-0.059282182,0.053123639,-1.115928472,0.264452753,0.443195159
ENSMUSG00000001138,2485.645587,0.459343674,0.06122675,7.502336347,6.27E-14,3.28E-12
ENSMUSG00000067653,289.3442045,-0.328653912,0.091703234,-3.583885721,0.00033852,0.001954133
ENSMUSG00000079610,479.8149948,0.663663411,0.079963256,8.299604609,1.04E-16,8.33E-15
ENSMUSG00000026121,1082.771479,-0.045684109,0.062763379,-0.727878406,0.466688023,0.643401409
ENSMUSG00000046337,3.778390604,-1.987551098,0.610414846,-3.25606612,0.001129674,0.005478806
ENSMUSG00000061518,5488.431854,-0.020989714,0.054648691,-0.384084472,0.70091584,0.823937942
ENSMUSG00000037351,8365.870983,-0.077560623,0.03471685,-2.234091608,0.025477046,0.075037715
ENSMUSG00000102416,4.647493248,-0.404637839,0.470572714,-0.859883769,0.389853116,0.573976632
ENSMUSG00000104237,16.50146421,0.351496172,0.400018198,0.878700454,0.379563712,0.563827557
ENSMUSG00000026117,20.21897827,0.411200206,0.247330827,1.662551371,0.096402272,0.213127908
ENSMUSG00000026116,3616.054087,-0.083118919,0.077893658,-1.067081984,0.285934817,0.466464703
ENSMUSG00000050122,24.03820588,0.787339631,0.279426396,2.817699554,0.004836905,0.018931149
ENSMUSG00000026114,2.109569808,0.132627786,0.66968529,0.198044945,0.843009899,0.91196953
ENSMUSG00000026113,8862.2266,-0.190067623,0.053284393,-3.567041124,0.000361035,0.002062194
ENSMUSG00000026112,2849.934518,-0.160773341,0.035638831,-4.511184465,6.45E-06,6.16E-05
ENSMUSG00000026111,1469.959343,0.045520952,0.053527608,0.850420074,0.395091579,0.578850871
ENSMUSG00000026110,1921.809976,0.119418248,0.045480452,2.625704963,0.008646973,0.030927319
ENSMUSG00000103948,2.694576321,0.061785508,0.55051061,0.112233092,0.910638591,0.950334166
ENSMUSG00000026090,1580.870988,0.469260479,0.07148813,6.564173373,5.23E-11,1.59E-09
ENSMUSG00000060771,295.9053965,-0.858604521,0.083477894,-10.28541186,8.20E-25,2.09E-22
ENSMUSG00000037216,98.8886241,0.152286042,0.105467707,1.443911568,0.148763852,0.294108129
ENSMUSG00000026088,360.8302636,-0.193801901,0.1088094,-1.781113588,0.074893896,0.175543272
ENSMUSG00000026087,1143.463995,-0.01443279,0.058499961,-0.246714532,0.805129159,0.88892862
ENSMUSG00000061584,9.009669747,-0.339051761,0.363295463,-0.933267261,0.350681995,0.53563348
ENSMUSG00000026085,0.145260731,0.004345106,3.393660413,0.00128036,0.998978421,NA
ENSMUSG00000058407,1864.836332,-0.004984572,0.041597856,-0.119827623,0.904619699,0.946916076
ENSMUSG00000026083,5099.741727,0.063663485,0.070288775,0.905741845,0.365072509,0.549786652
ENSMUSG00000026082,2770.382709,0.18629547,0.066024624,2.821605938,0.004778385,0.018741993
ENSMUSG00000102716,0.051362852,0.416531702,3.777781541,0.110258282,0.912204542,NA
ENSMUSG00000037138,1070.803651,-0.207577694,0.059791211,-3.47170916,0.000517156,0.002797579
ENSMUSG00000087131,3.643240409,-0.662095279,0.582312778,-1.137009704,0.255534229,0.433133164
ENSMUSG00000048814,5737.797244,-0.253433404,0.071112431,-3.563841096,0.000365467,0.002085518
ENSMUSG00000026080,3274.550599,-0.182480149,0.035678277,-5.114600957,3.14E-07,4.23E-06
ENSMUSG00000067604,0.263899048,1.154921548,2.511757911,0.459806076,0.645655422,NA
ENSMUSG00000026078,1139.029911,0.003541744,0.047307642,0.074866211,0.940321161,0.967971712
ENSMUSG00000026077,216.2394795,0.751223576,0.102110983,7.356932182,1.88E-13,8.93E-12
