"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"1","mmu03271",NA,1,0.5,0.050018310546875,3.0517578125e-05,0,1,4.30999839826917e-57
"2","mmu00290",NA,2,0.5,1,1,0.846588134765625,0.5,4.50408202704893e-34
"3","mmu00440",NA,6,1,1,1,0.846588134765625,0.5,4.98826120979891e-21
"4","mmu03260","Virion - Human immunodeficiency virus",2,0.2,1,1,0.846588134765625,0.5,9.35278324130964e-15
"5","mmu00470",NA,5,0.833333333333333,1,1,0.521881103515625,0.8,3.9113806932875e-09
"6","mmu00660",NA,1,0.5,0.050018310546875,3.0517578125e-05,3.0517578125e-05,1,1.12169555822393e-08
"7","mmu00100","Steroid biosynthesis",18,0.9,1,1,0.756195068359375,0.611111111111111,1.29735658910445e-06
"8","mmu00232",NA,2,0.333333333333333,1,1,0.846405029296875,0.5,1.67417167704185e-06
"9","mmu00650","Butanoate metabolism",23,0.851851851851852,1,1,0.758453369140625,0.608695652173913,0.000141198532747226
"10","mmu03266","Virion - Herpesvirus",7,0.7,1,1,0.791717529296875,0.571428571428571,0.000788228851360354
"11","mmu04964","Proximal tubule bicarbonate reclamation",18,0.818181818181818,1,1,0.699554443359375,0.555555555555556,0.000993912161386799
"12","mmu04973","Carbohydrate digestion and absorption",32,0.653061224489796,1,1,0.823944091796875,0.5,0.000993912161386799
"13","mmu00592","alpha-Linolenic acid metabolism",19,0.76,1,1,0.736297607421875,0.578947368421053,0.00125827413730429
"14","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.742828369140625,0.5625,0.00210275806721667
"15","mmu04070","Phosphatidylinositol signaling system",88,0.916666666666667,1,1,0.794403076171875,0.534090909090909,0.00392827091065505
"16","mmu00740",NA,8,1,1,1,0.846588134765625,0.5,0.00577134565819741
"17","mmu00061","Fatty acid biosynthesis",17,0.894736842105263,1,1,0.825225830078125,0.470588235294118,0.0216712334974052
"18","mmu00071","Fatty acid degradation",40,0.769230769230769,1,1,0.846588134765625,0.475,0.0229030306938924
"19","mmu01212","Fatty acid metabolism",58,0.935483870967742,1,1,0.821258544921875,0.482758620689655,0.0229030306938924
