"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"153","mmu00565","Ether lipid metabolism",40,0.816326530612245,1,1,0.893218994140625,0.35,1
"154","mmu00590","Arachidonic acid metabolism",46,0.51685393258427,1,1,0.910552978515625,0.369565217391304,1
"155","mmu00591","Linoleic acid metabolism",20,0.363636363636364,1,1,0.930023193359375,0.35,1
"156","mmu00592","alpha-Linolenic acid metabolism",19,0.76,1,1,0.893341064453125,0.315789473684211,1
"157","mmu00620","Pyruvate metabolism",40,0.888888888888889,1,1,0.809356689453125,0.525,1
"158","mmu00650","Butanoate metabolism",23,0.851851851851852,1,1,0.882415771484375,0.391304347826087,1
"159","mmu00740",NA,8,1,1,1,0.918731689453125,0.375,1
"160","mmu00760","Nicotinate and nicotinamide metabolism",35,0.813953488372093,1,1,0.835968017578125,0.485714285714286,1
"161","mmu00770","Pantothenate and CoA biosynthesis",19,0.904761904761905,1,1,0.827606201171875,0.473684210526316,1
"162","mmu00780",NA,3,1,1,1,0.999969482421875,0,1
"163","mmu00790","Folate biosynthesis",20,0.769230769230769,1,1,0.846588134765625,0.45,1
"164","mmu00860","Porphyrin metabolism",26,0.553191489361702,1,1,0.871795654296875,0.384615384615385,1
"165","mmu00900","Terpenoid backbone biosynthesis",21,0.91304347826087,1,1,0.891204833984375,0.380952380952381,1
"166","mmu00920","Sulfur metabolism",9,0.818181818181818,1,1,0.882110595703125,0.444444444444444,1
"167","mmu00980","Metabolism of xenobiotics by cytochrome P450",35,0.460526315789474,1,1,0.891204833984375,0.4,1
"168","mmu00982","Drug metabolism - cytochrome P450",34,0.472222222222222,1,1,0.884002685546875,0.411764705882353,1
"169","mmu00983","Drug metabolism - other enzymes",50,0.520833333333333,1,1,0.872711181640625,0.42,1
"170","mmu01040","Biosynthesis of unsaturated fatty acids",30,0.882352941176471,1,1,0.904571533203125,0.333333333333333,1
"171","mmu01212","Fatty acid metabolism",58,0.935483870967742,1,1,0.834075927734375,0.431034482758621,1
"172","mmu01232","Nucleotide metabolism",70,0.833333333333333,1,1,0.814361572265625,0.5,1
"173","mmu01250","Biosynthesis of nucleotide sugars",36,0.947368421052632,1,1,0.826507568359375,0.472222222222222,1
"174","mmu01320",NA,2,1,1,1,0.846588134765625,0.5,1
"175","mmu01522","Endocrine resistance",86,0.924731182795699,1,1,0.861846923828125,0.418604651162791,1
"176","mmu01523","Antifolate resistance",25,0.892857142857143,1,1,0.801239013671875,0.56,1
"177","mmu01524","Platinum drug resistance",72,0.888888888888889,1,1,0.869964599609375,0.416666666666667,1
"178","mmu02010","ABC transporters",37,0.637931034482759,1,1,0.915985107421875,0.27027027027027,1
"179","mmu03010","Ribosome",188,0.573170731707317,1,1,0.908966064453125,0.255434782608696,1
