"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"54","mmu04015","Rap1 signaling pathway",182,0.850467289719626,1,1,0.867645263671875,0.373626373626374,0.107377413318283
"55","mmu05200",NA,437,0.795992714025501,1,1,0.880401611328125,0.37070938215103,0.114193471688723
"56","mmu04912","GnRH signaling pathway",78,0.866666666666667,1,1,0.883758544921875,0.358974358974359,0.114366987456243
"57","mmu05205","Proteoglycans in cancer",169,0.82843137254902,1,1,0.860931396484375,0.369047619047619,0.125887290157089
"58","mmu04014","Ras signaling pathway",199,0.839662447257384,1,1,0.878936767578125,0.35678391959799,0.132400550568728
"59","mmu04810","Regulation of actin cytoskeleton",188,0.803418803418803,1,1,0.858245849609375,0.363636363636364,0.132400550568728
"60","mmu05224","Breast cancer",124,0.843537414965986,1,1,0.866485595703125,0.338709677419355,0.139326298661465
"61","mmu04371","Apelin signaling pathway",109,0.778571428571429,1,1,0.876495361328125,0.361111111111111,0.139698686431438
"62","mmu04925","Aldosterone synthesis and secretion",76,0.730769230769231,1,1,0.880218505859375,0.381578947368421,0.139698686431438
"63","mmu04972","Pancreatic secretion",60,0.521739130434783,1,1,0.868377685546875,0.366666666666667,0.14580025923889
"64","mmu00040","Pentose and glucuronate interconversions",16,0.432432432432432,1,1,0.886016845703125,0.3125,0.146903594738734
"65","mmu04917","Prolactin signaling pathway",59,0.797297297297297,1,1,0.874053955078125,0.338983050847458,0.148366325337289
"66","mmu04926","Relaxin signaling pathway",105,0.801526717557252,1,1,0.887969970703125,0.380952380952381,0.148366325337289
"67","mmu01521","EGFR tyrosine kinase inhibitor resistance",77,0.9625,1,1,0.840240478515625,0.363636363636364,0.15086600424299
"68","mmu04514","Cell adhesion molecule (CAM) interaction",95,0.53072625698324,1,1,0.877105712890625,0.368421052631579,0.150879508947764
"69","mmu05226","Gastric cancer",126,0.84,1,1,0.871002197265625,0.333333333333333,0.15542863565732
"70","mmu04919","Thyroid hormone signaling pathway",109,0.908333333333333,1,1,0.878448486328125,0.357798165137615,0.155610788238757
"71","mmu04750","Inflammatory mediator regulation of TRP channels",83,0.638461538461538,1,1,0.895660400390625,0.378048780487805,0.166819286948158
"72","mmu05214","Glioma",69,0.92,1,1,0.849090576171875,0.333333333333333,0.166819286948158
"73","mmu04974","Protein digestion and absorption",60,0.555555555555556,1,1,0.888458251953125,0.383333333333333,0.169503776684924
"74","mmu04068","FoxO signaling pathway",114,0.857142857142857,1,1,0.863494873046875,0.359649122807018,0.181004594541371
"75","mmu04640","Hematopoietic cell lineage",44,0.473118279569892,1,1,0.846466064453125,0.386363636363636,0.185447158483601
"76","mmu00600","Sphingolipid metabolism",48,0.857142857142857,1,1,0.886016845703125,0.375,0.192440998310861
"77","mmu05222","Small cell lung cancer",86,0.914893617021277,1,1,0.876617431640625,0.348837209302326,0.198348472041231
"78","mmu04392","Hippo signaling pathway - multiple species",25,0.925925925925926,1,1,0.884613037109375,0.36,0.199081563918516
"79","mmu05219","Bladder cancer",36,0.878048780487805,1,1,0.862640380859375,0.333333333333333,0.204707908985066
"80","mmu00750",NA,9,1,1,1,0.882049560546875,0.333333333333333,0.215814848630395
"81","mmu05215","Prostate cancer",94,0.878504672897196,1,1,0.866119384765625,0.361702127659574,0.216964423286325
"82","mmu05213","Endometrial cancer",56,0.96551724137931,1,1,0.867706298828125,0.339285714285714,0.22792046069583
"83","mmu03320","PPAR signaling pathway",53,0.595505617977528,1,1,0.877777099609375,0.339622641509434,0.235710047936813
