"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"78","mmu04148","Efferocytosis",127,0.779141104294479,1,1,0.723724365234375,0.511811023622047,0.156825710667605
"79","mmu05170","Human immunodeficiency virus 1 infection",187,0.775933609958506,1,1,0.782806396484375,0.502673796791444,0.158849252616373
"80","mmu04927","Cortisol synthesis and secretion",49,0.680555555555556,1,1,0.773895263671875,0.510204081632653,0.163509587137694
"81","mmu04710","Circadian rhythm",31,0.911764705882353,1,1,0.810577392578125,0.483870967741935,0.167067096970529
"82","mmu00910","Nitrogen metabolism",14,0.823529411764706,1,1,0.791656494140625,0.428571428571429,0.167473541543749
"83","mmu01522","Endocrine resistance",87,0.935483870967742,1,1,0.764923095703125,0.494252873563218,0.182679504818419
"84","mmu04630","JAK-STAT signaling pathway",102,0.596491228070175,1,1,0.758453369140625,0.5,0.182679504818419
"85","mmu04923","Regulation of lipolysis in adipocytes",41,0.719298245614035,1,1,0.757415771484375,0.48780487804878,0.182679504818419
"86","mmu04926","Relaxin signaling pathway",105,0.801526717557252,1,1,0.799652099609375,0.476190476190476,0.182679504818419
"87","mmu05163","Human cytomegalovirus infection",187,0.736220472440945,1,1,0.795562744140625,0.497326203208556,0.182679504818419
"88","mmu05215","Prostate cancer",94,0.878504672897196,1,1,0.763153076171875,0.478723404255319,0.182679504818419
"89","mmu05205","Proteoglycans in cancer",169,0.82843137254902,1,1,0.759918212890625,0.494047619047619,0.185217903137363
"90","mmu04713","Circadian entrainment",79,0.79,1,1,0.802825927734375,0.493670886075949,0.190875113649515
"91","mmu04912","GnRH signaling pathway",78,0.866666666666667,1,1,0.772125244140625,0.512820512820513,0.190875113649515
"92","mmu04512","ECM-receptor interaction",58,0.651685393258427,1,1,0.793792724609375,0.517241379310345,0.191515943229799
"93","mmu04668","TNF signaling pathway",96,0.813559322033898,1,1,0.799163818359375,0.4375,0.201856368539671
"94","mmu04921","Oxytocin signaling pathway",121,0.785714285714286,1,1,0.781463623046875,0.5,0.211612331352068
"95","mmu04012","ErbB signaling pathway",79,0.94047619047619,1,1,0.747406005859375,0.493670886075949,0.21251053481002
"96","mmu05211","Renal cell carcinoma",67,0.957142857142857,1,1,0.755401611328125,0.507462686567164,0.213367753335434
"97","mmu04550","Signaling pathways regulating pluripotency of stem cells",121,0.864285714285714,1,1,0.770660400390625,0.495867768595041,0.214216181540879
"98","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",25,0.925925925925926,1,1,0.791107177734375,0.52,0.223682319002515
"99","mmu04672","Intestinal immune network for IgA production",20,0.465116279069767,1,1,0.809295654296875,0.5,0.226904996534844
"100","mmu05207","Chemical carcinogenesis - receptor activation",154,0.666666666666667,1,1,0.738006591796875,0.480519480519481,0.22954203708482
"101","mmu04392","Hippo signaling pathway - multiple species",25,0.925925925925926,1,1,0.756744384765625,0.52,0.232701040500428
"102","mmu04062","Chemokine signaling pathway",124,0.639175257731959,1,1,0.787322998046875,0.495934959349593,0.236937623429247
"103","mmu04611","Platelet activation",100,0.793650793650794,1,1,0.787567138671875,0.494949494949495,0.236937623429247
"104","mmu04625","C-type lectin receptor signaling pathway",80,0.714285714285714,1,1,0.787933349609375,0.475,0.236937623429247
"105","mmu04920","Adipocytokine signaling pathway",59,0.819444444444444,1,1,0.772674560546875,0.491525423728814,0.236937623429247
"106","mmu05223","Non-small cell lung cancer",72,1,1,1,0.761810302734375,0.472222222222222,0.236937623429247
"107","mmu04820","Cytoskeleton in muscle cells",177,0.759656652360515,1,1,0.784759521484375,0.488636363636364,0.277987691931874
"108","mmu04725","Cholinergic synapse",89,0.780701754385965,1,1,0.789398193359375,0.50561797752809,0.296342839750124
"109","mmu05418","Fluid shear stress and atherosclerosis",121,0.812080536912752,1,1,0.770477294921875,0.487603305785124,0.302464969286156
"110","mmu04925","Aldosterone synthesis and secretion",76,0.730769230769231,1,1,0.757904052734375,0.486842105263158,0.31123719046627
"111","mmu04610","Complement and coagulation cascades",40,0.421052631578947,1,1,0.788665771484375,0.5,0.313798855505023
"112","mmu05221","Acute myeloid leukemia",57,0.814285714285714,1,1,0.785247802734375,0.491228070175439,0.315645458598536
"113","mmu04650","Natural killer cell mediated cytotoxicity",68,0.581196581196581,1,1,0.777130126953125,0.485294117647059,0.317644990495491
"114","mmu05213","Endometrial cancer",56,0.96551724137931,1,1,0.758941650390625,0.446428571428571,0.325154012180602
"115","mmu05165","Human papillomavirus infection",273,0.764705882352941,1,1,0.803192138671875,0.476190476190476,0.332220265098579
"116","mmu03272","Virion - Hepatitis viruses",33,0.647058823529412,1,1,0.761932373046875,0.424242424242424,0.338131949644637
"117","mmu04664","Fc epsilon RI signaling pathway",56,0.848484848484849,1,1,0.791717529296875,0.464285714285714,0.338619759499066
"118","mmu04721","Synaptic vesicle cycle",59,0.766233766233766,1,1,0.801788330078125,0.474576271186441,0.345739998889311
"119","mmu00561","Glycerolipid metabolism",55,0.859375,1,1,0.798248291015625,0.490909090909091,0.349997051047667
"120","mmu00513","Various types of N-glycan biosynthesis",42,0.91304347826087,1,1,0.770416259765625,0.476190476190476,0.358137398657044
"121","mmu04720","Long-term potentiation",56,0.835820895522388,1,1,0.731475830078125,0.472727272727273,0.364761884964044
"122","mmu00830","Retinol metabolism",26,0.252427184466019,1,1,0.787017822265625,0.423076923076923,0.379710453101792
"123","mmu05225","Hepatocellular carcinoma",156,0.896551724137931,1,1,0.787017822265625,0.467948717948718,0.393711704526674
"124","mmu04213","Longevity regulating pathway - multiple species",54,0.885245901639344,1,1,0.804840087890625,0.462962962962963,0.432186435796231
"125","mmu04070","Phosphatidylinositol signaling system",88,0.916666666666667,1,1,0.801177978515625,0.5,0.441271741374949
"126","mmu04726","Serotonergic synapse",75,0.547445255474453,1,1,0.822296142578125,0.453333333333333,0.441521817626777
"127","mmu05216","Thyroid cancer",36,0.972972972972973,1,1,0.803680419921875,0.472222222222222,0.441521817626777
"128","mmu01040","Biosynthesis of unsaturated fatty acids",29,0.852941176470588,1,1,0.756072998046875,0.413793103448276,0.449719570577461
"129","mmu04972","Pancreatic secretion",60,0.521739130434783,1,1,0.809295654296875,0.483333333333333,0.472059382039103
"130","mmu00480","Glutathione metabolism",54,0.73972602739726,1,1,0.800872802734375,0.481481481481481,0.472603708834342
"131","mmu04022","cGMP-PKG signaling pathway",128,0.744186046511628,1,1,0.776580810546875,0.46031746031746,0.473186656147043
"132","mmu05212","Pancreatic cancer",75,0.986842105263158,1,1,0.806488037109375,0.44,0.474537198782249
"133","mmu05340","Primary immunodeficiency",26,0.722222222222222,1,1,0.818389892578125,0.461538461538462,0.475352467729261
"134","mmu01212","Fatty acid metabolism",57,0.919354838709677,1,1,0.768829345703125,0.473684210526316,0.490451358240395
"135","mmu04750","Inflammatory mediator regulation of TRP channels",83,0.638461538461538,1,1,0.796783447265625,0.48780487804878,0.511140173062181
"136","mmu04382","Cornified envelope formation",98,0.441441441441441,1,1,0.800201416015625,0.418367346938776,0.52358899788852
"137","mmu00061","Fatty acid biosynthesis",15,0.789473684210526,1,1,0.822296142578125,0.466666666666667,0.556025876992355
"138","mmu05160","Hepatitis C",118,0.719512195121951,1,1,0.808624267578125,0.449152542372881,0.564507205241165
"139","mmu00330","Arginine and proline metabolism",42,0.777777777777778,1,1,0.790863037109375,0.476190476190476,0.566550982568221
