"","pathway","pathway_name","size","coverage","min_alpha_eBH","min_alpha_BY","min_alpha_Su","TDP","TDP_pvalue"
"60","mmu00430","Taurine and hypotaurine metabolism",10,0.454545454545455,1,1,0.999969482421875,0,1
"61","mmu00440",NA,6,1,1,1,0.999969482421875,0,1
"62","mmu00450","Selenocompound metabolism",16,0.941176470588235,1,1,0.999969482421875,0,1
"63","mmu00470",NA,6,1,1,1,0.999969482421875,0,1
"64","mmu00480","Glutathione metabolism",54,0.73972602739726,1,1,0.999847412109375,0,1
"65","mmu00500","Starch and sucrose metabolism",20,0.571428571428571,1,1,0.998748779296875,0.05,1
"66","mmu00510","N-Glycan biosynthesis",52,0.912280701754386,1,1,0.999969482421875,0,1
"67","mmu00512","Mucin type O-glycan biosynthesis",23,0.71875,1,1,0.999969482421875,0,1
"68","mmu00513","Various types of N-glycan biosynthesis",42,0.91304347826087,1,1,0.999725341796875,0,1
"69","mmu00514","Other types of O-glycan biosynthesis",37,0.822222222222222,1,1,0.999969482421875,0,1
"70","mmu00515","Mannose type O-glycan biosynthesis",21,0.91304347826087,1,1,0.999969482421875,0,1
"71","mmu00520","Amino sugar and nucleotide sugar metabolism",34,0.871794871794872,1,1,0.998260498046875,0,1
"72","mmu00524",NA,3,0.6,1,1,0.999969482421875,0,1
"73","mmu00531","Glycosaminoglycan degradation",17,0.80952380952381,1,1,0.998260498046875,0,1
"74","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,0.952380952380952,1,1,0.999969482421875,0,1
"75","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",12,0.857142857142857,1,1,0.999969482421875,0,1
"76","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",19,0.791666666666667,1,1,0.998565673828125,0,1
"77","mmu00541","Biosynthesis of various nucleotide sugars",20,0.952380952380952,1,1,0.999969482421875,0,1
"78","mmu00561","Glycerolipid metabolism",55,0.859375,1,1,0.999847412109375,0,1
"79","mmu00562","Inositol phosphate metabolism",69,0.896103896103896,1,1,0.998260498046875,0.0144927536231884,1
"80","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",30,1,1,1,0.999969482421875,0,1
"81","mmu00564","Glycerophospholipid metabolism",90,0.882352941176471,1,1,0.999908447265625,0,1
"82","mmu00565","Ether lipid metabolism",40,0.816326530612245,1,1,0.999969482421875,0,1
"83","mmu00590","Arachidonic acid metabolism",42,0.471910112359551,1,1,0.998870849609375,0.0238095238095238,1
"84","mmu00591","Linoleic acid metabolism",18,0.327272727272727,1,1,0.999969482421875,0,1
"85","mmu00592","alpha-Linolenic acid metabolism",19,0.76,1,1,0.998565673828125,0,1
"86","mmu00600","Sphingolipid metabolism",48,0.857142857142857,1,1,0.999786376953125,0,1
"87","mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",25,0.925925925925926,1,1,0.999969482421875,0,1
